iter	Passed	Remaining
0	148	148479
1	152	76312
2	157	52208
3	160	40088
4	165	32849
5	168	27972
6	172	24503
7	176	21861
8	179	19819
9	184	18233
10	187	16894
11	192	15811
12	195	14867
13	199	14058
14	203	13338
15	206	12725
16	210	12195
17	215	11740
18	218	11304
19	223	10927
20	226	10573
21	231	10271
22	235	9988
23	238	9710
24	242	9451
25	246	9246
26	250	9042
27	255	8864
28	259	8688
29	263	8528
30	268	8386
31	272	8246
32	276	8116
33	281	8002
34	285	7881
35	290	7786
36	295	7690
37	300	7604
38	304	7496
39	308	7405
40	313	7322
41	317	7242
42	321	7163
43	326	7083
44	330	7006
45	334	6938
46	338	6859
47	342	6799
48	348	6761
49	352	6698
50	357	6650
51	360	6565
52	362	6482
53	365	6402
54	368	6327
55	370	6252
56	373	6173
57	375	6096
58	377	6019
59	379	5944
60	381	5876
61	383	5809
62	385	5739
63	388	5677
64	389	5606
65	391	5534
66	392	5464
67	393	5387
68	394	5323
69	396	5261
70	397	5201
71	398	5141
72	400	5083
73	402	5030
74	403	4981
75	405	4929
76	406	4876
77	408	4822
78	409	4777
79	411	4727
80	412	4682
81	414	4639
82	416	4601
83	418	4559
84	419	4511
85	420	4467
86	421	4420
87	422	4379
88	424	4341
89	425	4301
90	426	4262
91	429	4235
92	431	4204
93	433	4174
94	435	4144
95	436	4114
96	438	4082
97	439	4049
98	441	4016
99	442	3986
100	444	3958
101	445	3923
102	447	3894
103	448	3863
104	450	3840
105	451	3810
106	453	3780
107	454	3751
108	455	3724
109	457	3697
110	458	3671
111	460	3647
112	461	3623
113	462	3598
114	464	3572
115	465	3545
116	466	3521
117	468	3498
118	469	3474
119	471	3454
120	472	3431
121	473	3410
122	474	3385
123	476	3368
124	478	3348
125	479	3328
126	481	3308
127	482	3284
128	483	3264
129	484	3243
130	485	3223
131	487	3203
132	488	3183
133	489	3166
134	491	3148
135	492	3130
136	494	3112
137	495	3093
138	496	3076
139	497	3058
140	499	3040
141	500	3023
142	501	3006
143	503	2991
144	504	2976
145	506	2960
146	507	2945
147	508	2929
148	510	2914
149	511	2900
150	513	2884
151	514	2869
152	515	2854
153	516	2839
154	518	2825
155	519	2811
156	521	2797
157	522	2785
158	524	2772
159	525	2759
160	526	2745
161	528	2731
162	529	2717
163	530	2705
164	531	2691
165	533	2678
166	534	2665
167	535	2654
168	537	2642
169	538	2630
170	540	2618
171	541	2606
172	542	2594
173	544	2583
174	545	2571
175	546	2560
176	548	2549
177	549	2539
178	551	2529
179	552	2519
180	553	2505
181	555	2494
182	556	2483
183	557	2473
184	559	2463
185	560	2453
186	562	2443
187	563	2434
188	565	2425
189	566	2415
190	568	2406
191	569	2397
192	571	2390
193	573	2383
194	575	2376
195	577	2367
196	578	2357
197	579	2349
198	581	2342
199	583	2335
200	585	2329
201	587	2320
202	588	2312
203	590	2302
204	591	2293
205	592	2285
206	594	2276
207	595	2269
208	597	2261
209	599	2255
210	601	2247
211	602	2239
212	604	2234
213	606	2227
214	607	2219
215	609	2211
216	610	2203
217	611	2195
218	614	2190
219	617	2188
220	619	2182
221	620	2174
222	621	2166
223	623	2158
224	624	2150
225	625	2143
226	627	2137
227	630	2136
228	632	2130
229	635	2128
230	637	2122
231	638	2115
232	640	2108
233	641	2101
234	643	2096
235	647	2095
236	650	2093
237	651	2086
238	653	2080
239	655	2074
240	656	2067
241	658	2061
242	660	2057
243	663	2054
244	665	2050
245	667	2044
246	668	2038
247	669	2031
248	671	2024
249	672	2017
250	673	2011
251	676	2007
252	677	2000
253	679	1994
254	680	1988
255	681	1981
256	683	1975
257	684	1969
258	686	1964
259	689	1963
260	691	1957
261	693	1953
262	695	1950
263	698	1946
264	699	1941
265	701	1935
266	703	1930
267	706	1930
268	708	1926
269	710	1921
270	712	1915
271	713	1910
272	715	1904
273	716	1898
274	717	1892
275	720	1889
276	723	1887
277	724	1881
278	726	1876
279	727	1870
280	728	1864
281	729	1858
282	731	1852
283	732	1846
284	734	1843
285	738	1843
286	740	1839
287	742	1834
288	743	1829
289	744	1823
290	746	1818
291	747	1813
292	749	1807
293	752	1805
294	754	1803
295	755	1798
296	757	1792
297	758	1786
298	760	1782
299	761	1776
300	762	1770
301	763	1765
302	768	1768
303	770	1764
304	771	1758
305	773	1754
306	774	1749
307	776	1744
308	777	1738
309	779	1735
310	782	1734
311	784	1730
312	786	1725
313	788	1722
314	790	1718
315	791	1713
316	792	1708
317	796	1707
318	798	1704
319	800	1701
320	802	1698
321	804	1694
322	806	1689
323	807	1684
324	808	1679
325	811	1677
326	815	1677
327	816	1673
328	818	1668
329	819	1664
330	821	1660
331	822	1655
332	823	1650
333	825	1646
334	829	1647
335	831	1642
336	832	1638
337	834	1634
338	835	1629
339	837	1624
340	838	1621
341	842	1621
342	844	1617
343	846	1613
344	847	1609
345	848	1604
346	850	1600
347	852	1596
348	853	1592
349	856	1590
350	858	1588
351	860	1583
352	861	1579
353	863	1575
354	864	1571
355	866	1567
356	867	1563
357	870	1561
358	873	1560
359	875	1556
360	877	1552
361	878	1548
362	879	1544
363	881	1539
364	882	1535
365	884	1532
366	888	1531
367	889	1528
368	891	1524
369	892	1519
370	894	1515
371	895	1511
372	896	1506
373	897	1502
374	899	1498
375	901	1496
376	903	1493
377	905	1489
378	906	1484
379	907	1481
380	909	1477
381	910	1473
382	911	1468
383	913	1464
384	914	1460
385	916	1458
386	918	1454
387	919	1450
388	920	1446
389	921	1442
390	923	1438
391	924	1433
392	925	1429
393	927	1425
394	928	1421
395	929	1417
396	931	1414
397	932	1410
398	933	1406
399	935	1402
400	936	1398
401	937	1394
402	938	1390
403	940	1386
404	941	1383
405	942	1379
406	943	1375
407	945	1371
408	947	1368
409	948	1364
410	949	1361
411	950	1357
412	952	1353
413	953	1349
414	954	1345
415	955	1342
416	957	1338
417	958	1334
418	959	1330
419	961	1327
420	962	1324
421	964	1320
422	965	1316
423	966	1313
424	967	1309
425	969	1305
426	970	1301
427	971	1298
428	972	1294
429	973	1290
430	975	1287
431	976	1284
432	977	1280
433	979	1276
434	980	1273
435	981	1269
436	982	1266
437	984	1262
438	985	1259
439	986	1255
440	988	1252
441	989	1248
442	991	1246
443	992	1242
444	993	1239
445	995	1236
446	996	1232
447	997	1229
448	999	1226
449	1000	1222
450	1001	1219
451	1002	1215
452	1004	1212
453	1005	1209
454	1007	1206
455	1008	1203
456	1010	1200
457	1011	1197
458	1012	1193
459	1013	1190
460	1015	1187
461	1016	1183
462	1018	1180
463	1019	1177
464	1020	1174
465	1022	1171
466	1023	1168
467	1025	1165
468	1026	1162
469	1027	1158
470	1029	1155
471	1030	1152
472	1031	1149
473	1032	1146
474	1034	1142
475	1035	1139
476	1036	1136
477	1038	1133
478	1039	1130
479	1041	1127
480	1042	1124
481	1043	1121
482	1044	1118
483	1046	1115
484	1047	1112
485	1048	1108
486	1049	1105
487	1050	1102
488	1052	1100
489	1054	1097
490	1055	1094
491	1057	1091
492	1058	1088
493	1059	1085
494	1060	1082
495	1062	1079
496	1063	1076
497	1064	1073
498	1066	1070
499	1067	1067
500	1069	1064
501	1070	1061
502	1071	1058
503	1072	1055
504	1074	1052
505	1075	1049
506	1076	1046
507	1077	1043
508	1078	1040
509	1079	1037
510	1081	1034
511	1082	1031
512	1084	1029
513	1085	1026
514	1086	1023
515	1087	1020
516	1089	1017
517	1090	1014
518	1091	1011
519	1092	1008
520	1094	1005
521	1095	1003
522	1096	1000
523	1098	997
524	1100	995
525	1101	992
526	1103	990
527	1104	987
528	1105	984
529	1107	981
530	1108	978
531	1109	976
532	1110	973
533	1112	970
534	1113	967
535	1115	965
536	1116	962
537	1117	959
538	1119	957
539	1120	954
540	1121	951
541	1122	948
542	1123	945
543	1125	943
544	1126	940
545	1127	937
546	1129	935
547	1131	932
548	1132	930
549	1133	927
550	1134	924
551	1136	922
552	1137	919
553	1138	916
554	1140	914
555	1141	911
556	1142	908
557	1144	906
558	1145	903
559	1146	901
560	1148	898
561	1149	895
562	1150	892
563	1151	890
564	1152	887
565	1153	884
566	1155	882
567	1156	879
568	1157	876
569	1159	874
570	1160	872
571	1162	869
572	1163	866
573	1164	864
574	1165	861
575	1167	859
576	1168	856
577	1169	853
578	1170	851
579	1171	848
580	1173	846
581	1174	843
582	1176	841
583	1177	838
584	1178	836
585	1179	833
586	1181	831
587	1182	828
588	1183	825
589	1184	823
590	1186	820
591	1187	818
592	1188	815
593	1189	813
594	1191	811
595	1193	808
596	1194	806
597	1196	804
598	1197	801
599	1198	799
600	1199	796
601	1200	793
602	1202	791
603	1203	788
604	1204	786
605	1206	784
606	1207	781
607	1208	779
608	1210	777
609	1211	774
610	1212	772
611	1214	769
612	1215	767
613	1216	764
614	1217	762
615	1218	759
616	1220	757
617	1221	755
618	1223	752
619	1224	750
620	1225	748
621	1227	745
622	1228	743
623	1229	740
624	1230	738
625	1231	735
626	1232	733
627	1233	730
628	1235	728
629	1236	726
630	1238	724
631	1239	721
632	1240	719
633	1241	716
634	1243	714
635	1244	712
636	1245	709
637	1246	707
638	1248	705
639	1249	702
640	1250	700
641	1252	698
642	1253	695
643	1254	693
644	1255	691
645	1257	688
646	1258	686
647	1259	684
648	1260	681
649	1261	679
650	1263	677
651	1264	674
652	1265	672
653	1266	670
654	1268	667
655	1269	665
656	1270	663
657	1271	661
658	1273	658
659	1274	656
660	1275	654
661	1276	651
662	1278	649
663	1279	647
664	1280	645
665	1281	642
666	1283	640
667	1284	638
668	1286	636
669	1287	634
670	1288	631
671	1290	629
672	1291	627
673	1292	625
674	1294	623
675	1295	620
676	1296	618
677	1297	616
678	1299	614
679	1300	612
680	1301	609
681	1303	607
682	1304	605
683	1306	603
