iter	Passed	Remaining
0	141	141011
1	143	71501
2	149	49765
3	152	37850
4	154	30694
5	156	25861
6	159	22670
7	163	20310
8	166	18321
9	168	16690
10	170	15332
11	172	14208
12	177	13504
13	180	12721
14	182	11991
15	184	11351
16	186	10792
17	192	10523
18	194	10064
19	196	9647
20	198	9273
21	200	8932
22	202	8617
23	205	8368
24	207	8107
25	209	7858
26	211	7628
27	213	7411
28	215	7211
29	217	7029
30	221	6937
31	224	6777
32	226	6624
33	228	6478
34	230	6341
35	231	6208
36	235	6129
37	238	6029
38	240	5913
39	241	5804
40	243	5702
41	245	5607
42	249	5552
43	252	5485
44	254	5399
45	256	5320
46	258	5239
47	260	5162
48	262	5093
49	266	5057
50	268	4995
51	270	4929
52	272	4862
53	273	4793
54	275	4727
55	277	4677
56	280	4643
57	282	4581
58	283	4523
59	284	4463
60	286	4407
61	287	4350
62	289	4300
63	290	4251
64	293	4221
65	295	4177
66	296	4130
67	298	4085
68	299	4044
69	301	4001
70	302	3957
71	303	3915
72	305	3875
73	307	3843
74	311	3846
75	313	3811
76	314	3774
77	316	3739
78	317	3705
79	319	3672
80	320	3639
81	323	3620
82	324	3589
83	327	3570
84	328	3539
85	330	3508
86	331	3478
87	332	3448
88	334	3421
89	335	3396
90	337	3372
91	340	3356
92	341	3331
93	343	3306
94	344	3281
95	345	3256
96	347	3232
97	348	3207
98	349	3185
99	351	3162
100	354	3152
101	357	3144
102	358	3124
103	360	3103
104	361	3081
105	363	3062
106	364	3042
107	365	3021
108	367	3002
109	370	3001
110	373	2993
111	375	2973
112	376	2958
113	378	2942
114	380	2924
115	382	2912
116	383	2893
117	385	2883
118	388	2873
119	389	2858
120	391	2842
121	392	2824
122	393	2809
123	395	2793
124	396	2777
125	398	2763
126	401	2761
127	404	2755
128	406	2741
129	407	2726
130	408	2711
131	410	2696
132	411	2682
133	412	2668
134	414	2654
135	416	2645
136	418	2634
137	419	2621
138	420	2607
139	422	2594
140	423	2581
141	424	2566
142	426	2555
143	427	2542
144	429	2529
145	432	2532
146	435	2528
147	437	2516
148	438	2504
149	439	2492
150	441	2480
151	442	2469
152	443	2457
153	445	2449
154	448	2444
155	450	2437
156	452	2427
157	453	2417
158	455	2407
159	456	2397
160	458	2387
161	459	2379
162	464	2385
163	466	2376
164	467	2367
165	469	2357
166	470	2348
167	472	2339
168	473	2330
169	475	2320
170	477	2315
171	479	2308
172	481	2301
173	483	2295
174	485	2289
175	487	2280
176	488	2271
177	489	2262
178	492	2259
179	497	2266
180	500	2262
181	501	2254
182	503	2246
183	505	2239
184	506	2232
185	509	2231
186	513	2230
187	515	2224
188	516	2217
189	518	2209
190	520	2202
191	521	2195
192	525	2197
193	528	2196
194	530	2190
195	532	2183
196	533	2175
197	535	2167
198	536	2160
199	538	2155
200	542	2156
201	545	2153
202	546	2146
203	548	2139
204	549	2132
205	551	2124
206	552	2116
207	556	2117
208	559	2118
209	561	2111
210	563	2105
211	564	2098
212	566	2091
213	567	2085
214	569	2077
215	572	2076
216	575	2075
217	576	2068
218	578	2062
219	579	2055
220	581	2048
221	582	2041
222	583	2034
223	587	2036
224	590	2035
225	592	2029
226	593	2022
227	595	2017
228	598	2014
229	599	2007
230	602	2006
231	605	2003
232	606	1997
233	608	1991
234	609	1985
235	611	1978
236	612	1971
237	613	1965
238	615	1958
239	618	1957
240	621	1956
241	622	1950
242	624	1944
243	625	1938
244	626	1931
245	628	1925
246	629	1918
247	630	1912
248	633	1909
249	635	1907
250	637	1902
251	638	1896
252	640	1889
253	641	1883
